Date,Country,"Gross domestic product per capita, constant prices","Gross domestic product, current prices","Inflation, average consumer prices",Unemployment rate,Export,Export Market Growth,Import,Net Trade
2011-12-01,Germany,3.925,3459.55,2.501,5.858,1365234475576.13,1367792919296.02,1165032620495.88,180666286018.74
2012-12-01,Germany,0.239,3540.98,2.141,5.367,1413858493094.39,1391853350852.54,1171306436315.89,216379142715.983
2013-12-01,Germany,0.157,3618.63,1.607,5.233,1430551677780.27,1436743573478.65,1204092255080.31,217615502570.013
2014-12-01,Germany,1.792,3767.35,0.761,5.008,1497601767236.31,1494095962932.47,1250712642063.2,258270685690.763
2015-12-01,Germany,0.866,3872.88,0.671,4.625,1570831230567.56,1550270510752.91,1317900716311.72,252930514255.845
2016-12-01,Germany,1.408,4000.24,0.375,4.158,1605871719588.86,1595582391557.91,1373732684683.39,252814620251.41
2017-12-01,Germany,2.083,4176.04,1.711,3.758,1694732669078.41,1685186767947.94,1451651147368.88,261928588102.958
2018-12-01,Germany,1.218,4342.91,1.951,3.4,1733946731621.89,1740659990625.59,1506063047791.89,246110119784.903
2019-12-01,Germany,0.322,4443.57,1.346,3.158,1747274126659.18,1766877934977.33,1540916226032.11,217408657537.295
2021-12-01,Germany,5.215,4460.55,1.183,3.452,1767528438264.14,1842318717353.13,1598429949132.98,181721233087.77
